source,food_id,name_local,name_en,lang,category,serving_basis,energy_kcal,protein_g,phosphorus_mg,potassium_mg,sodium_mg,notes
,A0500103,秈米(台中秈10號)(2024年取樣),,zh-TW,穀物類,100g,357.3916,6.114,164.42,133.47,0.0,
,00A05002,稉米平均值,,zh-TW,穀物類,100g,353.9518,7.0319,80.8004,79.2727,2.0019,
,A0500201,稉米(台中189號),,zh-TW,穀物類,100g,355.6145,7.5,77.17,84.7,2.76,
,A0500202,稉米(台南11號),,zh-TW,穀物類,100g,348.3469,6.741,67.164,70.702,2.107,
,A0500203,稉米(台稉2號),,zh-TW,穀物類,100g,356.7255,7.205,88.682,65.2483,2.3843,
,A0500204,稉米(台稉8號),,zh-TW,穀物類,100g,355.2428,6.928,72.376,63.562,1.5755,
,A0500205,稉米(台稉9號),,zh-TW,穀物類,100g,353.2311,6.58,73.568,70.8395,1.94,
,A0500206,稉米(台農71號),,zh-TW,穀物類,100g,356.6444,7.9183,62.6763,64.6543,1.6953,
,A0500207,稉米(高雄139號),,zh-TW,穀物類,100g,357.2448,6.1225,130.9928,116.5583,2.2,
,A0500208,稉米(高雄142號),,zh-TW,穀物類,100g,352.516,7.0,49.0,74.0,4.0,
,A0500209,稉米(高雄145號),,zh-TW,穀物類,100g,364.4454,6.768,97.247,92.777,0.566,
,A0500210,稉米(高雄139號)(2021年取樣),,zh-TW,穀物類,100g,352.2554,5.666,58.98,53.41,0.71,
,A0500301,越光米,,zh-TW,穀物類,100g,339.5073,7.556,89.1276,89.6855,0.7905,
,A0500302,越光米(台南16號)(2024年取樣),,zh-TW,穀物類,100g,355.8933,6.948,88.29,94.34,1.37,
,A0500401,秈型糯米(台中糯70號),,zh-TW,穀物類,100g,361.3604,7.8625,79.545,94.87,1.31,
,00A05005,稉型糯米平均值,,zh-TW,穀物類,100g,358.1558,8.29,82.45,105.85,3.11,
,A0500501,稉型糯米,,zh-TW,穀物類,100g,358.6265,8.38,109.9,118.7,2.22,
,A0500502,稉型糯米(台稉糯1號),,zh-TW,穀物類,100g,357.685,8.2,55.0,93.0,4.0,
,A0500601,野生紅米,,zh-TW,穀物類,100g,359.713,7.693,320.613,252.65,8.286,
,A0500701,紅糯糙米,,zh-TW,穀物類,100g,361.6964,9.92,346.2471,329.764,0.591,
,A0500801,黑秈糯糙米,,zh-TW,穀物類,100g,357.4076,10.1235,205.345,301.85,2.5,
,A0500901,胚芽秈米(台中秈10號),,zh-TW,穀物類,100g,363.0183,8.272,313.5975,267.8175,1.608,
,00A05010,胚芽稉米平均值,,zh-TW,穀物類,100g,361.7421,8.1985,163.6375,127.955,1.4755,
,A0501001,胚芽稉米(台稉10號）,,zh-TW,穀物類,100g,360.3746,7.28,178.981,148.912,1.039,
,A0501002,胚芽稉米(台稉9號),,zh-TW,穀物類,100g,363.1096,9.117,148.294,106.998,1.912,
,00A05011,發芽稉米平均值,,zh-TW,穀物類,100g,354.9414,7.798,254.109,126.2565,3.2655,
,A0501103,發芽稉米(台稉71號),,zh-TW,穀物類,100g,356.7383,7.406,285.424,167.003,3.314,
,A0501104,發芽稉米(台稉9號）,,zh-TW,穀物類,100g,353.1446,8.19,222.794,85.51,3.217,
,A0501201,糙秈米,,zh-TW,穀物類,100g,358.7368,7.285,344.946,304.331,3.504,
,00A05013,糙稉米平均值,,zh-TW,穀物類,100g,364.2759,7.436,238.834,220.282,3.071,
,A0501301,糙稉米(台稉71號),,zh-TW,穀物類,100g,360.3815,8.955,284.097,223.156,3.054,
,A0501302,糙稉米(台稉9號),,zh-TW,穀物類,100g,364.2759,7.436,238.834,220.282,3.071,
,A0501401,黑秈糙米,,zh-TW,穀物類,100g,363.0816,7.455,324.32,273.95,1.04,
,A0510101,加鈣米,,zh-TW,穀物類,100g,355.0521,7.37,86.5,83.19,7.58,
,A0510201,高纖米,,zh-TW,穀物類,100g,362.7227,8.276,282.54,260.15,3.15,
,A0510301,五穀米,,zh-TW,穀物類,100g,358.2847,8.695,347.426,261.461,2.0,
,A0510401,米胚芽,,zh-TW,穀物類,100g,390.9448,17.024,1604.4625,1320.608,4.9941,
,A0520201,秈米粉,,zh-TW,穀物類,100g,363.2489,4.157,55.0436,14.8265,10.438,
,A0520301,糙米粉,,zh-TW,穀物類,100g,392.739,11.3,193.0,267.0,6.0,
,A0520401,白糯米粉,,zh-TW,穀物類,100g,359.895,4.505,48.8693,32.76,15.861,
,A0550601,白飯,,zh-TW,穀物類,100g,183.1356,3.09,39.29,39.99,2.03,
,A0600101,高梁,,zh-TW,穀物類,100g,371.8047,11.0165,151.194,231.224,2.719,
,A0600201,糯高梁,,zh-TW,穀物類,100g,362.3257,10.69,75.32,128.93,0.0,
,A0710101,黑麥片,,zh-TW,穀物類,100g,359.2458,7.784,203.0074,356.6026,1.3288,
,A0800101,燕麥,,zh-TW,穀物類,100g,406.0363,10.9165,291.965,292.655,3.905,
,A0810101,燕麥片,,zh-TW,穀物類,100g,393.374,12.3,116.0,329.0,3.0,
,A0810201,即食燕麥片,,zh-TW,穀物類,100g,406.2506,11.909,358.7868,331.5405,2.996,
,A0900101,蕎麥(甜蕎),,zh-TW,穀物類,100g,360.8428,11.037,298.76,394.2467,1.8033,
,A1000101,薏仁,,zh-TW,穀物類,100g,378.4899,14.0733,300.6133,250.74,1.8733,
,A1000201,糙薏仁,,zh-TW,穀物類,100g,386.8506,13.702,489.373,453.4977,1.059,
,A1020101,薏仁粉,,zh-TW,穀物類,100g,394.795,10.89,211.14,185.435,10.855,
,A1100101,紅藜麥,,zh-TW,穀物類,100g,378.927,12.134,274.047,803.44,2.21,
,A1100201,台灣藜(紅)(帶殼),,zh-TW,穀物類,100g,385.5813,14.872,444.19,2561.85,1.13,
,B0100101,淮山,,zh-TW,澱粉類,100g,362.8352,5.294,92.98,290.95,10.53,
,00B01002,山藥平均值,,zh-TW,澱粉類,100g,85.3829,2.8187,48.3388,533.1434,3.9177,
,B0100201,山藥(二刺),,zh-TW,澱粉類,100g,89.1922,2.732,45.1515,552.1164,2.1022,
,B0100202,山藥(大汕1號),,zh-TW,澱粉類,100g,79.951,2.407,39.8722,543.6019,4.0621,
,B0100203,山藥(大汕3號),,zh-TW,澱粉類,100g,72.683,2.649,44.5166,579.5638,2.085,
,B0100204,山藥(大刺),,zh-TW,澱粉類,100g,84.6262,3.523,95.1146,573.3593,7.674,
,B0100205,山藥(中國長品),,zh-TW,澱粉類,100g,74.1359,2.452,39.2584,587.5633,0.8894,
,B0100206,山藥(台農1號),,zh-TW,澱粉類,100g,93.3841,2.595,42.7185,427.0139,0.8051,
,B0100207,山藥(台農2號),,zh-TW,澱粉類,100g,94.8985,3.207,48.269,609.2905,14.2629,
,B0100208,山藥(白皮削),,zh-TW,澱粉類,100g,75.0452,2.465,45.8049,592.1531,2.4332,
,B0100209,山藥(尖石原生種),,zh-TW,澱粉類,100g,64.6657,3.14,47.5948,591.2268,2.8681,
,B0100210,山藥(宜蘭原生種),,zh-TW,澱粉類,100g,140.1744,4.796,57.749,584.5428,3.7645,
,B0100211,山藥(花蓮3號),,zh-TW,澱粉類,100g,93.3366,1.693,46.23,437.1013,5.62,
,B0100212,山藥(青森),,zh-TW,澱粉類,100g,93.6043,2.607,43.8033,566.4265,3.6179,
,B0100213,山藥(高田),,zh-TW,澱粉類,100g,71.0372,3.116,55.0297,524.108,3.5835,
,B0100214,山藥(白肉),,zh-TW,澱粉類,100g,68.626,2.08,25.63,295.94,1.08,
,B0200301,紫山藥,,zh-TW,澱粉類,100g,92.3211,2.821,42.049,570.4779,2.8287,
,B0320101,木薯粉,,zh-TW,澱粉類,100g,361.6688,0.076,6.7624,26.55,0.783,
,B0400101,白皮甘藷,,zh-TW,澱粉類,100g,119.2089,1.283,40.007,396.9,72.992,
,B0400201,菱角牛奶甘藷,,zh-TW,澱粉類,100g,133.1638,1.86,49.089,354.369,85.258,
,B0400301,芋心甘藷,,zh-TW,澱粉類,100g,122.3155,1.055,44.854,271.778,87.0161,
,B0400401,紅肉甘藷,,zh-TW,澱粉類,100g,113.7181,1.7783,51.8851,300.2276,41.7861,
,B0400501,金時甘藷,,zh-TW,澱粉類,100g,138.2959,1.639,52.214,330.543,45.23,
,B0400601,黃肉甘藷,,zh-TW,澱粉類,100g,120.6673,1.278,42.2381,276.1774,51.2171,
,B0420101,甘藷粉,,zh-TW,澱粉類,100g,357.5595,1.0215,8.928,43.899,19.063,
,B0450101,油炸脫水甘藷,,zh-TW,澱粉類,100g,524.9,2.27,119.0,790.0,305.0,
,B0500101,芋頭,,zh-TW,澱粉類,100g,127.75,2.5,64.0,500.0,5.0,
,B0500201,小芋頭(山芋),,zh-TW,澱粉類,100g,112.9382,2.2897,102.1605,566.9038,5.4676,
,B0500301,檳榔心芋,,zh-TW,澱粉類,100g,121.0231,1.298,70.6666,384.7944,2.3448,
,B0500302,檳榔心芋(2021年取樣),,zh-TW,澱粉類,100g,106.611,1.139,49.16,326.32,0.0,
,B0500401,冷凍芋頭塊,,zh-TW,澱粉類,100g,147.181,2.2,68.0,490.0,15.0,
,B0520101,芋頭粉,,zh-TW,澱粉類,100g,333.1607,0.102,2.7745,5.231,34.347,
,B0600101,豆薯,,zh-TW,澱粉類,100g,31.4353,0.728,15.9628,107.8965,4.0819,
,B0700101,紅馬鈴薯(粉紅珍珠馬鈴薯),,zh-TW,澱粉類,100g,65.7781,1.64,49.6678,492.0643,2.4604,
,B0700201,馬鈴薯,,zh-TW,澱粉類,100g,76.9397,2.5825,37.7123,385.8122,3.0648,
,B0700202,馬鈴薯(2022年取樣),,zh-TW,澱粉類,100g,70.3922,2.276,49.43,431.26,1.93,
,B0700301,小馬鈴薯(珍珠馬鈴薯),,zh-TW,澱粉類,100g,59.4809,1.748,52.3189,424.459,7.092,
,B0720101,馬鈴薯粉,,zh-TW,澱粉類,100g,346.1938,0.09,28.82,48.03,7.5,
,B0800101,荸薺,,zh-TW,澱粉類,100g,67.1952,1.703,52.7034,460.5004,21.2331,
,B0820101,荸薺粉,,zh-TW,澱粉類,100g,364.8579,0.384,10.952,42.069,3.829,
,B0900101,蓮藕,,zh-TW,澱粉類,100g,65.1526,2.0293,63.8523,326.9267,15.6451,
,B0900201,熟蓮藕,,zh-TW,澱粉類,100g,50.2206,1.088,28.6919,182.8478,28.5148,
,B0900202,熟蓮藕切片(水煮),,zh-TW,澱粉類,100g,73.2139,0.772,14.438,1.154,77.431,
,B0920101,蓮藕粉,,zh-TW,澱粉類,100g,364.8407,0.12,13.87,32.35,4.71,
,B1000101,菱角(生),,zh-TW,澱粉類,100g,76.3995,1.9,83.0,250.0,21.0,
,B1000201,菱角仁(生),,zh-TW,澱粉類,100g,118.0451,4.141,132.722,396.28,14.651,
,B1000301,菱角(熟),,zh-TW,澱粉類,100g,146.2443,4.218,178.85,426.09,16.05,
,B9900201,蒟蒻粉,,zh-TW,澱粉類,100g,351.3836,0.184,82.9874,1806.594,13.366,
,C0105101,甘扁桃仁片(生),,zh-TW,堅果及種子類,100g,563.8544,27.257,481.1268,625.881,20.058,
,C0110101,甘扁桃仁片(熟),,zh-TW,堅果及種子類,100g,617.8689,23.443,415.03,,73.271,
,C0110201,甘扁桃仁(熟),,zh-TW,堅果及種子類,100g,587.8776,21.946,467.36,728.083,0.998,
,C0205101,松子仁(生),,zh-TW,堅果及種子類,100g,677.7577,16.6155,610.6466,640.8065,3.5415,
,C0210101,原味松子仁,,zh-TW,堅果及種子類,100g,680.4281,14.462,629.507,671.087,0.777,
,C0310101,原味夏威夷豆,,zh-TW,堅果及種子類,100g,699.8346,7.478,241.063,443.657,1.44,
,C0405101,生核桃,,zh-TW,堅果及種子類,100g,667.4064,15.388,440.4153,453.1837,4.5317,
,C0500101,栗子(生),,zh-TW,堅果及種子類,100g,186.0041,3.53,92.98,452.78,1.58,
,C0500202,栗子仁(生),,zh-TW,堅果及種子類,100g,176.4781,3.686,90.096,462.969,2.315,
,C0710101,開心果,,zh-TW,堅果及種子類,100g,600.755,22.381,421.6866,987.728,462.3223,
,C0805101,腰果(生),,zh-TW,堅果及種子類,100g,568.1358,18.3335,551.9853,646.819,11.2645,
,C0810101,原味腰果,,zh-TW,堅果及種子類,100g,566.0303,16.376,516.191,732.804,9.972,
,C0905101,原味榛果,,zh-TW,堅果及種子類,100g,671.6361,12.997,378.997,637.915,0.976,
,C1005101,山粉圓,,zh-TW,堅果及種子類,100g,399.6244,16.333,484.71,528.16,4.9,
,C1305101,亞麻仁籽,,zh-TW,堅果及種子類,100g,524.2401,20.83,502.505,629.497,46.381,
,C1320101,亞麻仁籽粉,,zh-TW,堅果及種子類,100g,557.0958,21.7325,593.31,797.77,15.88,
,C1410101,咖啡豆(曼特寧),,zh-TW,堅果及種子類,100g,437.4317,13.86,198.38,1094.77,2.3,
,C1505101,奇亞子,,zh-TW,堅果及種子類,100g,483.3174,21.6785,1156.463,880.616,0.475,
,C1605101,白芝麻(生),,zh-TW,堅果及種子類,100g,598.038,22.2645,722.8715,461.2175,38.8005,
,C1605102,黑芝麻(生),,zh-TW,堅果及種子類,100g,550.9268,22.1585,545.6515,469.9955,2.402,
,C1610101,白芝麻(熟),,zh-TW,堅果及種子類,100g,625.6099,20.2885,762.281,505.753,24.4545,
,C1610102,白芝麻(熟)2022年取樣),,zh-TW,堅果及種子類,100g,600.6946,21.734,640.04,492.65,18.27,
,C1610201,黑芝麻(熟),,zh-TW,堅果及種子類,100g,599.4997,17.26,665.0955,526.0555,1.9235,
,C1610202,黑芝麻(熟)(2022年取樣),,zh-TW,堅果及種子類,100g,591.1492,20.689,652.42,538.55,0.84,
,C1620101,黑芝麻粉,,zh-TW,堅果及種子類,100g,601.276,15.719,627.0433,471.1075,2.671,
,C1700101,帶殼花生(生),,zh-TW,堅果及種子類,100g,330.7629,15.289,246.147,473.127,0.908,
,C1700201,冷凍帶殼花生(熟),,zh-TW,堅果及種子類,100g,343.5417,17.153,287.973,247.4162,363.0284,
,C1700301,黑金剛花生(生),,zh-TW,堅果及種子類,100g,553.0609,27.632,554.24,748.04,22.59,
,C1705101,帶膜花生仁(生)(1995年之前取樣),,zh-TW,堅果及種子類,100g,505.8875,28.785,521.86,933.215,31.59,
,C1705201,去膜花生仁(生),,zh-TW,堅果及種子類,100g,557.6365,28.8335,460.6995,660.45,1.8595,
,C1705301,帶膜花生仁(生)(2004年取樣),,zh-TW,堅果及種子類,100g,516.4973,23.6283,437.0188,671.2757,12.6617,
,C1710101,紅土帶殼花生(熟),,zh-TW,堅果及種子類,100g,555.0467,31.246,414.0947,547.0627,644.7467,
,C1720101,花生粉,,zh-TW,堅果及種子類,100g,515.7649,28.536,497.3,940.0,10.9,
,C1800101,芡實,,zh-TW,堅果及種子類,100g,342.5929,9.944,91.17,80.39,0.0,
,C2005101,愛玉子,,zh-TW,堅果及種子類,100g,406.7013,12.22,278.87,729.27,6.4,
,C2110101,原味葵瓜子(去殼),,zh-TW,堅果及種子類,100g,586.3687,21.981,813.629,820.877,1.326,
,C2200101,銀杏果,,zh-TW,堅果及種子類,100g,142.0686,4.084,82.5415,246.197,13.98,
,C2300101,蓮子,,zh-TW,堅果及種子類,100g,140.9132,9.277,290.307,304.761,118.7367,
,C2305101,蓮子(乾),,zh-TW,堅果及種子類,100g,333.8598,21.7775,666.232,714.0275,304.607,
,D0100101,山竹,,zh-TW,水果類,100g,69.4004,0.5535,12.4949,81.7065,3.1624,
,00D02001,木瓜平均值,,zh-TW,水果類,100g,38.1568,0.559,10.8317,186.123,3.3746,
,D0200101,木瓜(2月取樣),,zh-TW,水果類,100g,31.152,0.693,8.0349,203.9921,2.0296,
,D0200102,木瓜(5月取樣),,zh-TW,水果類,100g,43.8347,0.675,10.6776,208.8241,3.6739,
,D0200103,木瓜(8月取樣),,zh-TW,水果類,100g,33.4413,0.457,11.7011,185.9294,2.9287,
,D0200104,木瓜(11月取樣),,zh-TW,水果類,100g,44.199,0.411,12.9132,145.7462,4.8663,
,D0200201,青木瓜,,zh-TW,水果類,100g,28.5757,0.6203,13.4033,138.5683,5.2903,
,D0300101,安石榴,,zh-TW,水果類,100g,67.2198,1.7,40.0,200.0,8.0,
,D0400101,百香果(台農一號),,zh-TW,水果類,100g,102.208,1.998,51.88,272.72,2.08,
,D0430101,百香果汁,,zh-TW,水果類,100g,72.9366,0.871,26.7497,238.5358,0.9742,
,D0500101,金黃奇異果,,zh-TW,水果類,100g,58.9366,0.8385,22.8358,251.6121,2.0379,
,D0500201,奇異果,,zh-TW,水果類,100g,56.2826,1.1497,30.1708,290.7544,2.9167,
,D0600101,紅毛丹,,zh-TW,水果類,100g,73.2833,1.0315,23.4418,151.8635,8.1841,
,D0700101,紅龍果(白肉),,zh-TW,水果類,100g,51.4985,0.9307,21.8778,226.1907,0.0696,
,D0700201,紅龍果(紅肉),,zh-TW,水果類,100g,50.05,1.119,27.5395,218.66,0.272,
,00D08001,北蕉平均值,,zh-TW,水果類,100g,84.9833,1.451,23.3732,367.5296,0.1778,
,D0800101,北蕉(2月取樣),,zh-TW,水果類,100g,93.2203,1.324,16.7153,356.9232,0.1743,
,D0800102,北蕉(5月取樣),,zh-TW,水果類,100g,91.7847,1.557,25.9154,346.4541,0.262,
,D0800103,北蕉(9月取樣),,zh-TW,水果類,100g,64.6971,1.33,19.9845,303.7861,0.1469,
,D0800104,北蕉(11月取樣),,zh-TW,水果類,100g,90.231,1.593,30.8777,462.9549,0.128,
,D0800201,"北蕉(0天,綠皮)",,zh-TW,水果類,100g,90.4728,1.303,23.269,362.774,0.282,
,D0800301,北蕉(1天),,zh-TW,水果類,100g,87.1529,1.432,20.671,349.15,0.301,
,D0800401,北蕉(3天),,zh-TW,水果類,100g,83.6957,1.361,19.933,320.866,0.344,
,D0800501,北蕉(7天),,zh-TW,水果類,100g,67.8757,1.287,20.253,302.686,0.223,
,D0800601,李林蕉(2007年取樣),,zh-TW,水果類,100g,102.1755,1.418,20.415,394.875,0.0,
,D0800602,李林蕉(2012年取樣),,zh-TW,水果類,100g,110.6234,1.474,32.981,386.367,0.628,
,D0800701,南華蕉,,zh-TW,水果類,100g,124.085,1.142,37.2385,304.7935,0.231,
,D0800801,紅皮蕉(2004年取樣),,zh-TW,水果類,100g,92.9853,1.287,19.1608,375.69,0.316,
,D0800802,紅皮蕉(2012年取樣),,zh-TW,水果類,100g,97.7854,1.281,21.105,371.087,0.651,
,D0801101,蛋蕉(2023年取樣),,zh-TW,水果類,100g,87.4042,1.068,16.88,339.31,3.381,
,D0900101,酪梨(綠皮),,zh-TW,水果類,100g,64.9787,1.6293,32.5114,251.4956,2.0583,
,D0900201,酪梨(室溫存放0天),,zh-TW,水果類,100g,80.0423,1.455,28.175,290.721,0.408,
,D0900301,酪梨(室溫存放3天),,zh-TW,水果類,100g,84.4824,1.365,34.211,360.939,0.309,
,D0900401,酪梨(室溫存放6天),,zh-TW,水果類,100g,92.2151,1.517,38.303,384.521,0.548,
,D1000101,榴槤,,zh-TW,水果類,100g,131.7274,2.7187,27.5226,459.2791,1.7409,
,D1100101,開英種1號鳳梨,,zh-TW,水果類,100g,56.1664,0.624,8.3973,191.0207,0.0265,
,00D11002,鳳梨平均值(雜交種),,zh-TW,水果類,100g,52.6628,0.7379,10.7251,162.2599,0.339,
,D1100201,甘蔗鳳梨,,zh-TW,水果類,100g,57.4048,0.693,9.9259,121.8987,0.0633,
,D1100202,甜蜜蜜鳳梨,,zh-TW,水果類,100g,42.3321,0.978,15.0173,224.6703,0.4058,
,D1100203,金鑽鳳梨,,zh-TW,水果類,100g,50.4379,0.501,8.2635,132.892,0.5375,
,D1100204,牛奶鳳梨,,zh-TW,水果類,100g,60.4765,0.7795,9.6935,169.5785,0.3495,
,D1200101,釋迦,,zh-TW,水果類,100g,104.1989,2.2,46.0,390.0,7.0,
,D1200201,鳳梨釋迦,,zh-TW,水果類,100g,102.1751,1.5105,26.1574,257.9313,2.3035,
,D1300101,桑葚,,zh-TW,水果類,100g,31.9989,1.137,23.8843,180.271,0.786,
,D1330101,桑葚汁,,zh-TW,水果類,100g,25.1552,0.815,16.2735,141.072,0.48,
,D1400101,草莓,,zh-TW,水果類,100g,38.6848,0.963,22.8838,198.6042,6.7619,
,D1500101,土芭樂,,zh-TW,水果類,100g,39.1794,0.74,15.0,150.0,5.0,
,00D15002,芭樂平均值(白肉),,zh-TW,水果類,100g,39.9848,0.6901,13.2237,160.4003,1.4848,
,D1500201,番石榴(珍珠拔)(有機),,zh-TW,水果類,100g,39.8257,0.576,11.7,155.58,0.0,
,D1500202,世紀芭樂,,zh-TW,水果類,100g,39.7046,0.662,12.6578,159.9023,0.4396,
,D1500203,珍珠芭樂,,zh-TW,水果類,100g,41.9639,0.7225,13.5369,176.1187,0.4996,
,D1500204,泰國芭樂,,zh-TW,水果類,100g,38.445,0.8,15.0,150.0,5.0,
,D1500205,無子芭樂,,zh-TW,水果類,100g,33.4051,0.74,12.0041,114.7677,0.1583,
,D1500301,紅心芭樂,,zh-TW,水果類,100g,42.0341,0.757,15.033,165.753,1.182,
,00D16001,楊桃平均值,,zh-TW,水果類,100g,32.0281,0.5262,9.2355,151.9026,0.3201,
,D1600101,楊桃(2月取樣),,zh-TW,水果類,100g,29.3672,0.438,8.7452,136.1605,0.0877,
,D1600102,楊桃(4月取樣),,zh-TW,水果類,100g,32.095,0.651,10.326,168.312,0.435,
,D1600103,楊桃(5月取樣),,zh-TW,水果類,100g,34.4451,0.636,10.482,170.9523,0.3473,
,D1600104,楊桃(9月取樣),,zh-TW,水果類,100g,33.4224,0.468,9.0625,133.2694,0.4848,
,D1600105,楊桃(11月取樣),,zh-TW,水果類,100g,30.8111,0.438,7.5618,150.819,0.2457,
,D1700101,美國紅葡萄,,zh-TW,水果類,100g,68.6178,0.443,25.4341,166.2969,7.9209,
,D1700201,巨峰葡萄,,zh-TW,水果類,100g,63.5451,0.52,14.1992,121.7084,0.9866,
,00D17003,綠葡萄平均值,,zh-TW,水果類,100g,57.9343,0.5188,19.5473,149.6809,3.6363,
,D1700301,美國綠葡萄,,zh-TW,水果類,100g,63.9579,0.5385,23.2924,163.6054,7.0882,
,D1700302,意大利葡萄,,zh-TW,水果類,100g,51.9108,0.499,15.8021,135.7564,0.1844,
,D1700401,美國紅葡萄(含皮),,zh-TW,水果類,100g,61.3069,0.4385,19.4972,214.3884,1.1939,
,D1700501,美國紫葡萄(含皮),,zh-TW,水果類,100g,80.4128,0.444,20.7581,228.3121,0.6748,
,D1700601,美國黑葡萄(含皮),,zh-TW,水果類,100g,62.6744,0.592,25.4408,213.3385,0.3481,
,D1700701,美國綠葡萄(含皮),,zh-TW,水果類,100g,86.9466,0.581,22.6266,264.253,0.9027,
,D1700801,無子紅葡萄(含皮),,zh-TW,水果類,100g,71.6646,0.46,19.6011,194.1903,3.1072,
,D1700901,黑美人葡萄(含皮),,zh-TW,水果類,100g,65.5083,0.5135,24.4785,186.9309,0.2129,
,D1701001,金香葡萄(含皮),,zh-TW,水果類,100g,60.1749,0.63,25.8378,205.3138,0.2428,
,D1710101,葡萄乾,,zh-TW,水果類,100g,306.1048,3.19,117.0,710.0,14.0,
,00D18001,蓮霧平均值(粉紅色種),,zh-TW,水果類,100g,39.4115,0.3857,7.8285,91.4013,1.8747,
,D1800101,蓮霧(紅寶石),,zh-TW,水果類,100g,32.9007,0.339,7.664,83.486,2.113,
,D1800102,蓮霧(黑金剛),,zh-TW,水果類,100g,33.8464,0.473,7.8014,94.998,0.741,
,D1800103,蓮霧(黑珍珠),,zh-TW,水果類,100g,51.4874,0.345,8.02,95.72,2.77,
,D1900101,華寶大西瓜(花蓮),,zh-TW,水果類,100g,33.1023,0.654,10.8,116.009,1.44,
,00D19002,西瓜平均值(紅肉小瓜),,zh-TW,水果類,100g,32.5907,0.7784,11.6796,121.2847,1.4365,
,D1900201,皇宮西瓜,,zh-TW,水果類,100g,32.3959,0.69,12.609,114.9468,0.9055,
,D1900202,紅鈴西瓜,,zh-TW,水果類,100g,34.0299,0.8387,7.7128,97.4798,2.2113,
,D1900203,黑美人西瓜,,zh-TW,水果類,100g,36.465,0.912,15.0285,110.7101,1.6611,
,D1900204,鳳光西瓜,,zh-TW,水果類,100g,27.4719,0.673,11.368,162.002,0.968,
,D1900301,無籽西瓜,,zh-TW,水果類,100g,32.8436,0.875,22.528,150.288,0.61,
,00D19004,西瓜平均值(黃肉小瓜),,zh-TW,水果類,100g,29.0044,0.679,9.7878,98.5578,1.5732,
,D1900401,小玉西瓜,,zh-TW,水果類,100g,34.368,0.791,9.0187,93.7878,2.4225,
,D1900402,金蘭西瓜,,zh-TW,水果類,100g,23.6408,0.567,10.5569,103.3277,0.7238,
,D1900501,嘉寶瓜,,zh-TW,水果類,100g,40.2228,0.78,18.0,80.0,9.0,
,00D20001,甜瓜平均值(光皮洋香瓜),,zh-TW,水果類,100g,29.5857,0.8727,10.3117,225.19,13.0543,
